Acronym	Title
AAAI	Association for the Advancement of Artificial Intelligence
AAAS	American Association for the Advancement of Science
AADAC	Alberta Alcohol and Drug Abuse Commission
AAFES	Army and Air Force Exchange Service
AAODL	Atmospheric Aerosols and Optics Data Library
ABET	Accreditation Board for Engineering and Technology
ABFIST	Advanced Bradley Full Crew Interactive Skills Trainer
ABPI	Association of the British Pharmaceutical Industry
ABRSM	Associated Board of the Royal Schools of Music
ACARS	Aircraft Communications Addressing and Reporting System
ACCA	The Association of Chartered Certified Accountants
ACCD	American Coalition of Citizens with Disabilities
ACLJ	American Center for Law and Justice
ACOG	American College of Obstetricians and Gynecologists
ACORN	Association of Community Organizations for Reform Now
ACUF	BGN Advisory Committee on Undersea Features
AFATDS	Advanced Field Artillery Tactical Data System
AFCEA	Armed Forces Communications and Electronics Association
AFIST	Abrams Full Crew Interactive Skills Trainer
AFLAC	American Family Life Assurance Company of Columbus
AFOSR	U.S. Air Force Office of Scientific Research
AFROTC	Air Force Reserve Officer Training Corps
AFRTS	Armed Forces Radio and Television Service
AFSCN	U.S. Air Force Satellite Control Network
AGARD	Advisory Group for Aerospace Research and Development
AGARDograph	Advanced Guidance for Alliance Research and Development publication
AHPCRC	Army High Performance Computing Research Center
AHRQ	Agency for Healthcare Research and Quality
AIAA	American Institute of Aeronautics and Astronautics
ALTE	Association of Language Testers in Europe
ALTACS	Automated decision Logic Tactical Air Combat Simulation
ANZ	Australia and New Zealand Banking Group
ANZAC	Australian and New Zealand Army Corps
APHIS	Animal and Plant Health Inspection Service
ASCIET	All Services Combat Identification Evaluation Team
ASCII	American Standard Code for Information Interchange
ASFAR	Americans for a Society Free of Age Restrictions
ASSC	Association for the Scientific Study of Consciousness
ASTM	American Society for Testing and Materials
ATAT	Aiken Tactical Airsoft Team / Star Wars vehicle
ATCCIS	Army Tactical Command and Control Information System
ATESS	Aerospace and Telecommunications Engineering Support Squadron
ATSDR	Agency for Toxic Substances and Disease Registry
BCCI	Bank of Credit and Commerce International
CAFDE	Canadian Association of Film Distributors and Exporters
CASTFOREM	Combined Arms and Support Task FORce Evaluation Model
CASTOR	Canadian Automatic Small Telescopes for Orbital Research
CBE	Commander of the Order of the British Empire
CCCP	Central Committee of the Communist Party
CCRTS	Command and Control Research and Technology Symposium
CCSCS	Coordinadora de Centrales Sindicales del Cono Sur
CCSCS	Consultative Committee for Space Data Systems
CDipAF	Certified Diploma in Accounting and Finance
CECOM	U.S. Army Communications and Electronics Command
CREN	Christian Real Estate Network Real Estate Association
CJCS	Chairman of the Joint Chiefs of Staff
CLEMARS	California Law Enforcement Mutual Aid Radio System
CMS	Centers for Medicare and Medicaid Services
CMW	Marconi's Wireless Telegraph Company of Canada
COGENT	Cognitive Objects within a Graphical EnviroNmenT
COPUS	U.K. Committee on the Public Understanding of Science
CORE	Consortium for Oceanographic Research and Education
CPIM	Certification on Production and Inventory Management
CPSU	Communist Party of the Soviet Union
CSPI	Center for Science in the Public Interest
CUREA	Consortium for Undergraduate Research and Education in Astronomy
DARPA	U.S. Defense Advanced Research Projects Agency
DBE	Dame Commander of the Order of the British Empire
DCSOPS	Deputy Chief of Staff for Operations and plans
DHSS	UK Department of Health and Social Security
DMRB	Design Manual for Roads and Bridges
DODAF	U.S. Department of Defense Architectural Framework
DSM	Diagnostic and Statistical Manual of Mental Disorders
DSTL	British Defence Science and Technology Laboratory
DTI	UK Department of Trade and Industry
DVLC	UK Driver and Vehicle Licencing Centre
EEZ	Economic Exclusion Zone or Exclusive Economic Zone
ERLAWS	Eastern Ruapehu Lahar Alarm and Warning System
ESOL	English for Speakers of Other Languages
EUUSA	European Union and United States of America
FAADEZ	Forward Area Air Defence Engagement Zone
FAAN	Fellow of the American Academy of Neurology
FAAFP	Fellow of the American Academy of Family Physicians
FAAN	Fellow of the American Academy of Nursing
FACN	Fellow of the American College of Nutrition
FACP	Fellow of the American College of Physicians
FAPA	Fellow of the American Psychological Association
FAPHA	Fellow of the American Public Health Association
FARP	Forward Arming and Refuelling Point / Forward Area Rearm/refuel Point
FBCS	Fellow of the British Computer Society
FBIDST	Fellow of the British Institute of Dental and Surgical Technologists
FEATS	Festival of European Anglophone Theatrical Societies link title
FEBA	Forward Edge of the Battle Area
FEST	Frankfurt English Speaking Theatre link title
FIMPT	Fellow of the Institute of Maxillofacial Prosthetists and Technologists
FMECA	Failure Modes and Effect Criticality Analysis
FOTA	Fellow of the Orthodontic Technicians Association
FRSA	Fellow of the Royal Society of Art
FTS	Flight Termination System used during some rocket launches
GBE	Grand Cross of the Order of the British Empire
GEBCO	General Bathymetric Chart of the Oceans
GLAAD	Gay and Lesbian Alliance Against Defamation
GMPCS	Global Mobile Personal Communications by Satellite
GULCR	Grupo de Usuarios de Linux de Costa Rica
GXH	IATA code of Gannan Xiahe Airport
HAARP	High Frequency Active Auroral Research Program
HETT	Heavy Equipment Transporting Truck
HIPAA	U.S. Health Insurance Portability and Accountability Act
HOLLAND	Hope Our Love Lasts And Never Dies
HOSTAC	Helicopter Operations from Ships Other Than Aircraft Carriers
HSBC	The Hong Kong and Shanghai Banking Corporation
IATSE	International Alliance of Theatrical Stage Employees
ICANN	Internet Corporation for Assigned Names and Numbers
ICTH	Island Closest to Heaven/Hell Final Fantasy VIII
IMPT	Institute of Maxillofacial Prosthetists and Technologists
INCITS	InterNational Committee for Information Technology Standards
INRIA	Institut national de recherche en informatique et en automatique
IRINN	Islamic Republic of Iran News Network
ISCII	Indian Standard Code for Information Interchange
ISEF	Intel International Science and Engineering Fair
ISSCR	International Society for Stem Cell Research
IXT	IntraText digital library
JAMA	Journal of the American Medical Association
JCDS	Joint Chiefs of the Defence Staff
JCIDS	Joint Capabilities Integration and Development System
JDCC	UK Joint Doctrine and Concepts Centre
JFACTSU	U.S. Joint Forward Air Control Training and Standards Unit
JFSOCC	Joint Force Special Operations Component Commander
JOPES	Joint Operations Planning and Execution System
JRSAI	Journal of the Royal Society of Antiquaries of Ireland
JSCSC	Joint Services Command and Staff College
KARNAC	Knowledge Aided Retrieval in Activity Context
KATUSA	Korean Augmentation To United States Army
KBE	Knight Commander of the Order of the British Empire
KFUPM	King Fahd University of Petroleum & Minerals
KGO	Knight of the Guelphic Order of Hanover
KLENOT	KLEt Observatory Near Earth and Other unusual objects observations Team and Telescope
LAESI	Local Authority & Emergency Service Information
LOTA	Licentiate of the Orthodontic Technicians Association
MACA	Military Aid to the Civil Authorities
MARCENT	United States Marine Forces Central Command
MASAS	Monte Agliale Supernovae and Asteroid Survey
Maser	Microwave Amplification by Stimulated Emission of Radiation
MBIDST	Member of the British Institute of Dental and Surgical Technologists
MCIS	Mellon Collie and the Infinite Sadness
MECCA	Milwaukee Exposition Convention Center and Arena
MIKE	Monitoring of Illegal Killing of Elephants
MILSTRIP	Military Standard Requisitioning and Issue Procedure DLMSO MILSTRIP Manual
MIMPT	Member of the Institute of Maxillofacial Prosthetists and Technologists
MMOR	Master of Management in Operations Research
MOJWA	Movement for Oneness and Jihad in West Africa
MOTA	Member of the Orthodontic Technicians Association
MOTESS	Moving Object and Transient Event Search System
MPSI	Member of the Pharmaceutical Society of Ireland
MRT	Mass Rapid Transit
MRTFB	U.S. Major Range and Test Facility Base
MSPA	Migrant and Seasonal worker Protection Act
NACISA	NATO Communications and Information Systems Agency
NACMA	NATO Air Command and Control System Management Agency
NAFERA	Native American Free Exercise of Religion Act
NAGPRA	Native American Graves Protection and Repatriation Act
NAIRU	Non Accelerating Inflation Rate of Unemployment
NARDIC	U.S. Navy Acquisition Research and Development Information Center
NARPV	National Association for Remotely Piloted Vehicles
NASCAR	National Association for Stock Car Auto Racing
NASDAQ	National Association of Securities Dealers Automated Quotations
NCAR	U.S. National Center for Atmospheric Research
NCCAM	U.S. National Center for Complementary and Alternative Medicine
NCDDR	U.S. National Center for the Dissemination of Disability Research
NCES	U.S. National Center for Education Statistics
NFHS	National Federation of State High School Associations
NHANES	National Health and Nutrition Examination Survey
NIAAA	U.S. National Institute on Alcohol Abuse and Alcoholism
NIAID	National Institute of Allergies and Infectious Disease
NIAMD	National Institute of Arthritis and Musculoskeletal Diseases
NICAP	National Investigations Committee on Aerial Phenomena
NICE	UK. National Institute for Health and Clinical Excellence
NIDDK	National Institute of Diabetes and Digestive and Kidney Diseases
NIDRR	National Institute on Disability Research and Rehabilitation
NIEHS	National Institute of Environmental Health Sciences
NISAC	U.S. National Infrastructure Simulation and Analysis Center
NISCAP	NSA Information System Certification and Accreditation Program
NISER	National Institute of Science Education and Research
NOAA	U.S. National Oceanic and Atmospheric Administration
NSABB	National Science Advisory Board for Biosecurity
NVESD	CERDEC Night Vision and Electronic Sensors Directorate
NWOAHM	New Wave of American Heavy Metal
NYO	National Youth Orchestra of Great Britain
OASIS	Ontario Agencies Supporting Individuals with Special Needs
OASIS	Ontario Association of Sewage Industry Services
OBE	Officer of the Order of the British Empire
OMNCS	U.S. Office of the Manager for the National Communications System
OPCW	Organisation for the Prohibition of Chemical Weapons
OPEC	Organization of the Petroleum Exporting Countries
ORISE	Oak Ridge Institute for Science and Education
OSCE	Organisation for Security and Cooperation in Europe
OSERS	U.S. Department of Education Office of Special Education and Rehabilitative Services
OSPA	Operations Security Professional's Association site of OSPA
PCCIP	President's Commission on Critical Infrastructure Protection
PEET	Partnerships for Enhancing Expertise in Taxonomy
PEPFAR	President's Emergency Plan For AIDS Relief
PEST	UK Public Engagement with Science and Technology
PNAC	Project for the New American Century
Qantas	Queensland And Northern Territory Aerial Services
RESNA	Rehabilitation Engineering and Assistive Technology Society of North America
RSPCA	Royal Society for the Prevention of Cruelty to Animals
RUSI	Royal United Services Institute for Defence Studies
SARA	Southeastern Association for Research in Astronomy
SIRI	Service Interface for Real Time Information
SOGAT	Society of Graphical and Allied Trades
TACCSF	U.S. Theater Aerospace Command & Control Simulation Facility
TALES	Technical Advice and Lexicon for Enabling Simulation
TAPPS	Texas Association of Private and Parochial Schools
TBGRI	Tropical Botanic Garden and Research Institute
TEST	Thesaurus of Engineering and Scientific Terms
TIALD	Thermal Imaging and Airborne Laser Designation
TIGERS	Topologically Integrated Geographic Encoding and Referencing System
